Gene Name,Control_1,Control_2,Control_3,KO_1,KO_2,KO_3
CCNA_01541,124750,92723,79813,88935,91324,60146
CCNA_01576,111140,80491,87733,49416,55981,51218
CCNA_01581,942640,778490,807610,750900,844530,661880
CCNA_02154,46986,37173,75354,44509,53254,42223
CCNA_01877,55790,42861,78451,63349,70734,50106
rusA,66248,47120,31259,58341,75145,84839
CCNA_01913,29231,25033,28383,28352,29198,23301
CCNA_01681,270830,211090,337630,290660,347970,286710
CCNA_01620,37558,40545,34616,39451,43626,71534
CCNA_01712,45207,52214,48855,39736,43499,34944
purN,37465,33691,51222,34181,31824,37841
CCNA_02028,736520,669660,1201800,591260,758700,839150
CCNA_01779,81167,65761,61894,80219,96207,85801
CCNA_01789,188360,142990,167860,164960,219530,174220
CCNA_01828,66524,67425,49076,60697,71616,55670
scpA,19022,16941,12543,23301,24117,22761
CCNA_01238,34008,26762,30121,33788,36230,37269
CCNA_01248,74307,61024,53020,36756,47262,37632
CCNA_01865,15532,12439,8217.2,8295.9,9105.7,9593
CCNA_01291,8766.8,5479.4,6429.9,8986.7,7887,8778.7
CCNA_01914,43148,35098,23767,33520,35247,34148
xynB2,11199,13289,10672,8974.1,8819,7734
CCNA_01785,48485,34998,29486,54463,72286,70404
flgG,19175,15192,23265,17058,20879,20805
thiS,498280,393910,396570,366510,390730,249470
CCNA_01371,970340,849350,993500,601690,719690,812750
CCNA_02188,80977,75182,94820,75444,90319,78426
coaX,508650,475290,431730,382840,459390,337940
CCNA_02239,9958.7,11379,6254.8,13159,22957,16821
CCNA_02074,34369,22615,23784,17317,20470,19576
CCNA_02103,31869,28166,30011,26991,34325,38123
recG,55426,41261,52306,46489,52405,47871
CCNA_02632,29404,26337,30124,34703,39497,34387
ddpX,27251,34165,39034,18143,17330,17414
CCNA_02030,353020,310690,301260,218870,238970,254490
CCNA_01578,115260,88685,95809,103610,129170,100070
cspC,3592900,3239600,4015300,3978200,4212000,3458300
CCNA_02480,7763.1,8146.6,9058.5,7381,10426,9067.4
CCNA_02245,50112,47549,42135,35899,41572,39701
CCNA_02505,12170,5909.6,3665.7,12595,14955,10012
CCNA_01668,122690,113500,95580,68150,77680,66752
CCNA_02169,81486,85672,89889,67002,88182,87485
CCNA_02292,199310,175310,186410,133400,146840,120060
CCNA_02302,34333,22925,13897,30066,31815,27354
CCNA_02559,26888,31367,41688,26912,29994,35106
CCNA_02836,48606,40659,50842,46478,48708,42089
CCNA_02330,236420,302610,215330,191810,275580,429910
CCNA_01731,340760,265930,257450,209810,225030,134240
CCNA_02603,86091,59799,97983,56036,59400,41799
CCNA_02613,37126,40464,50962,44909,47503,76352
CCNA_02362,564080,544390,1014900,813880,929240,972490
CCNA_02278,544060,469880,306650,453810,514820,551460
CCNA_02660,51931,47866,70251,67178,77578,79543
gph,521910,476600,847180,524230,618720,664580
CCNA_02303,22860,19311,13825,25358,25940,20357
CCNA_01801,276570,289620,443070,390130,514140,488490
CCNA_02313,40671,46115,55372,37162,38279,37844
CCNA_01813,25137,27888,37104,27350,44850,37583
CCNA_02807,20147,17240,11743,19000,22621,19249
CCNA_02581,47656,40659,68567,50249,56055,58108
tatC,363630,402020,237290,142700,144970,176390
cspA,394590,269910,576580,155450,217400,118150
CCNA_03014,61372,40588,29318,33329,39317,21927
CCNA_03260,435360,395420,737500,436840,510470,520030
CCNA_02678,330000,312170,246400,215420,229430,181680
CCNA_03289,130130,125780,169040,154940,174930,191350
CCNA_02692,204010,181000,166070,170190,195860,173980
CCNA_03354,35030,22161,17229,34658,42488,36088
CCNA_03089,1313100,1013500,1174400,788790,1090200,1117200
CCNA_03370,10403,7768.5,9566,9663,12380,10692
CCNA_03423,62724,55790,70006,58689,67381,53379
CCNA_03180,44304,45956,63904,61764,78927,84669
CCNA_02279,1036000,832500,752800,745500,836290,696780
CCNA_03498,131580,112630,122920,108360,132220,151340
CCNA_03519,31096,25118,24863,25393,34592,23199
CCNA_03290,249040,228320,361780,301320,353710,361330
CCNA_02398,45137,38913,50976,35391,44033,44303
CCNA_03596,308570,274410,501910,413160,489030,402600
CCNA_03004,11781,5832.1,8622.5,15240,17572,18807
CCNA_03613,255920,199830,230780,199010,220810,220730
CCNA_03432,9380,8935.4,20905,11624,15989,17709
CCNA_03081,160000,103340,136450,143200,155430,123990
hfsA,20036,21899,12927,18165,22114,21976
CCNA_03120,150160,134010,183450,176190,208870,241790
CCNA_03742,247280,186090,244430,193470,217580,199370
CCNA_03155,246820,197480,151060,82802,87199,103200
CCNA_02557,96020,92854,159390,149670,180920,216770
purS,833430,998620,1166700,820950,1027800,1627400
CCNA_03530,31600,23072,25790,32744,35921,34445
CCNA_03156,733210,595480,719620,527530,604160,542710
CCNA_03779,48038,40664,45478,35479,51457,40226
CCNA_03246,24953,25597,16214,26061,24004,31657
CCNA_02731,46379,50435,79780,68087,80948,85257
CCNA_02742,296070,237650,252050,192640,217050,180810
CCNA_02851,17395,17255,23848,23953,25877,25172
moeB,45219,59969,82596,80768,84201,94116
CCNA_02929,51558,46606,64196,63580,84246,86681
flmD,36209,34453,60734,50270,54755,56555
CCNA_03643,476660,491590,331590,356110,395100,396140
CCNA_03710,100630,87933,131560,102790,119800,125960
CCNA_03093,1029500,951190,1344300,1322000,1506300,1318700
CCNA_03832,27076,24782,27193,23154,25388,24122
CCNA_03838,65164,58825,26787,31602,33050,29703
CCNA_03760,712130,618820,492620,458610,524730,461290
CCNA_03215,25153,21779,15170,15790,14564,15468
CCNA_03270,38350,28660,36529,39456,41390,32927
hisH,317420,286510,514680,327340,406780,374820
CCNA_03316,129930,129580,125240,92846,99259,89574
CCNA_03429,17165,12523,15500,15696,20286,21144
nepR,148850,91949,170650,105700,137080,193360
CCNA_03645,125500,94678,201520,153280,153790,137640
CCNA_03693,710240,621440,720270,678210,739320,468350
CCNA_03756,64499,58036,48715,39893,45307,40827
CCNA_03778,181310,157620,134500,50692,60963,62477
CCNA_03898,48581,36916,58746,40800,51273,62982
cdzD,247990,311190,227960,381900,542520,726100
CCNA_03997,33123,32254,32421,131130,158890,154150
recO,7941.5,5026.2,3377.6,7218,11025,10972
rpsR,4057100,2992300,1922900,2257900,2494200,1247200
dapF,188500,158330,269000,219840,265170,200940
opgH,108990,109350,126790,103170,121320,140110
xseB,1450300,1106700,1332600,1314800,1435000,965130
CCNA_00107,257960,162920,252160,202950,216920,161590
CCNA_00245,339550,334810,583980,438690,517510,504780
CCNA_02430,77294,61142,79756,90300,116850,143810
fliJ,43124,40160,42642,34213,37359,34228
rplP,5104000,4572500,2583100,4060400,4348700,3359800
rpmE,3321600,2487200,1862700,1804500,1886700,1071500
CCNA_03428,1729800,1567400,973480,1261100,1315900,1337800
ihfA,1364900,960540,1058100,1081200,1305500,848640
rpsI,1948100,1718300,1071600,1570800,1682800,1271300
mscL,635830,523710,501970,363230,436450,352120
CCNA_00098,14160,10631,13991,16729,18389,18356
tadA,133000,105920,119560,94160,110960,98197
pstC,151210,141610,91694,85329,89610,74645
CCNA_00020,53244,42844,101860,53713,60634,69867
CCNA_00067,567810,518160,850090,597930,699240,706120
CCNA_00232,12697,10104,11087,6154.5,7174.8,6093
CCNA_00613,27074,21620,20177,17055,19812,21670
moaE,19077,17674,34199,27042,33098,31037
CCNA_00352,2066100,1711000,1598200,1318600,1312000,1081900
CCNA_00362,502730,483300,530640,521160,652650,639020
CCNA_00686,178380,156100,131100,124980,129020,109910
CCNA_00385,45876,44359,35818,41586,37296,37864
rpe,538520,552030,655350,454460,523300,651960
CCNA_00743,57894,44518,43761,62718,68762,47149
CCNA_00129,269490,211020,219140,170520,169310,118120
pulE,178530,138610,230640,164000,178260,65464
CCNA_00923,143700,110070,126270,131820,144000,148640
CCNA_00022,138050,128750,121700,107500,146550,116270
CCNA_00353,21193,17102,7193.2,22674,23703,15044
CCNA_00157,344300,347780,563610,447410,533160,546590
CCNA_00169,7335.2,6320.5,6781.9,5592,6698.1,4614
CCNA_01045,144560,136660,151380,156030,163070,183110
CCNA_00189,1087500,910290,899750,709260,780750,946670
CCNA_00194,107730,80654,128280,62362,80729,72148
CCNA_00453,18204,18415,27379,18859,21527,20082
hprK,29362,23381,18568,34139,32356,27799
msrA,17398,11879,10238,17627,24743,20525
CCNA_00344,32402,26629,43797,32689,36822,41292
CCNA_01133,125630,70720,87247,82023,82032,64178
CCNA_01167,13220,12973,11941,9481.2,10121,10834
CCNA_00867,114140,113430,151490,140080,155260,160640
iatP,82531,60410,43597,30789,34964,20113
CCNA_00428,147530,105750,103700,101740,122530,129910
CCNA_01192,19727,19955,31947,28014,30747,27924
CCNA_00087,158000,137010,52402,90481,82590,76665
CCNA_00477,23506,15485,24084,20046,25473,16583
CCNA_00482,4966.5,5013.8,6038.4,7521.1,8040.3,7549.4
CCNA_00120,1964.6,2179.2,3395.2,8205.4,12494,10784
CCNA_00676,97861,68548,78784,81077,84301,74352
CCNA_01228,28127,23808,38374,31978,33283,34792
CCNA_00693,76566,41223,62218,48814,49385,25698
CCNA_01249,14799,14702,13289,12286,14476,13276
CCNA_00144,27287,18169,21842,27734,35390,42439
CCNA_00561,168030,145680,263090,161300,159970,197030
CCNA_00734,10856,8424.7,4137.9,7285.2,10549,7524.8
CCNA_00180,20953,17535,12745,18939,18742,14056
CCNA_00600,8354.7,3780.7,3654.8,4859.1,4156.8,1766.1
CCNA_00988,31620,28455,38042,35641,32740,29591
CCNA_00626,6298,6337.4,5250.5,4794.8,5399.4,3584.8
CCNA_01009,52614,55514,88345,104260,114190,91113
CCNA_01406,25323,27241,20399,18015,20291,20878
CCNA_00741,495200,450590,763460,553840,610710,685680
CCNA_00339,135370,115540,109540,162130,169890,139040
CCNA_00915,105360,97070,171730,126350,155640,148160
CCNA_00925,63003,47977,21534,46902,54496,35638
CCNA_00945,54239,49541,79849,49236,56218,52926
parE1,6104.1,4739.4,9553,9661.6,10191,8320
CCNA_01224,35044,25094,9223,25872,22467,21150
mopJ,10692,6380.7,5623.9,9862,12135,12205
CCNA_01022,7092.1,6137.9,6013.4,8332.4,10869,8458.6
CCNA_00990,17261,16549,21691,28111,29540,24591
flgC,15843,12597,19973,8643,8732.6,9557.4
CCNA_00572,19057,18190,8649.3,10120,10308,12293
CCNA_01147,46598,37077,61637,52687,61243,54741
CCNA_01464,314840,289200,356020,145610,149020,145210
CCNA_00685,10966,8948.5,8773.4,10659,13861,16187
CCNA_01338,7631.5,14498,12681,13143,14311,42360
CCNA_01902,336690,264150,308270,318390,403460,248410
CCNA_00822,51112,46386,44605,55458,64465,43818
CCNA_01974,103100,86598,144880,106930,132920,123250
CCNA_00887,137150,120170,161740,85378,89910,92830
CCNA_01534,697910,648110,462710,408260,491690,411610
flgL,16076,12683,19328,16389,17710,13003
CCNA_01778,7045.3,6747.1,2447.4,4053.7,5434.9,3699.4
CCNA_00958,15297,16151,11045,18300,22110,21649
CCNA_01592,574020,571290,559320,379220,478430,677260
CCNA_00991,439950,403480,597970,385710,436140,468710
CCNA_01607,62366,56073,36708,49155,44112,36769
CCNA_01553,21033,12159,9158.3,16466,18677,13477
CCNA_02181,6432.7,6151.7,3338.1,13688,16248,20709
CCNA_01928,48173,49723,84822,47789,56395,65879
CCNA_01717,141610,92268,88340,75072,79661,72897
CCNA_01125,74122,61154,95738,87590,113420,104050
CCNA_01149,59189,40176,50681,43071,46081,29522
CCNA_01708,163380,135860,185060,192760,229960,188560
CCNA_01713,5212.9,4758.9,2626.1,6286.2,5358.1,3971.8
shpA,140900,105480,203310,135110,144000,133300
CCNA_01784,23133,19721,14500,20330,20960,18696
CCNA_01810,13481,7816,8308.9,8719.2,13503,12662
CCNA_01201,50868,55251,79970,27033,28092,31965
cerR,88209,82366,82291,64336,78124,80421
CCNA_02096,657290,615670,594050,547610,681520,558090
CCNA_01286,24026,21698,35190,26005,31385,37154
CCNA_01340,85870,66624,40400,68667,77161,68774
CCNA_01939,142060,126580,204910,147920,185780,158920
CCNA_02484,20502,21211,17023,12896,13833,8761.1
qoxA,37260,34742,24736,18926,20493,14068
divK,158540,155140,243020,165750,193960,236000
CCNA_02311,20311,19459,33972,25242,28497,31900
CCNA_01967,9743.6,10340,8152.8,12500,11823,14331
CCNA_02618,9448,8405,5970.6,10737,13921,9554.9
staR,29875,23043,19534,15500,21728,20251
CCNA_02659,201630,162770,318740,177010,211520,200890
CCNA_02025,126430,108880,113230,70430,67788,61341
CCNA_02680,166770,149620,102540,131430,153640,126990
CCNA_02395,770520,705210,1416500,1050600,1229000,1328800
CCNA_02690,71199,72359,57324,46199,50530,51363
CCNA_02700,35801,32398,33691,26804,34603,35544
hfaB,4402.5,4093.5,4104.5,4625.4,4549.9,4621.9
CCNA_02465,134500,124320,142670,123460,158020,122270
CCNA_02789,29397,23620,22406,42586,65568,77111
CCNA_02811,17313,14298,7553.8,14572,17083,11138
apaG,73447,57094,65460,60848,67539,55919
CCNA_02241,26931,27768,56600,38953,42204,32205
CCNA_02898,13030,12435,14152,16036,19681,15867
CCNA_01765,219870,192170,222820,204660,222360,176350
CCNA_02288,33320,31705,50464,39504,47433,48123
CCNA_02676,302840,276350,231980,202570,203980,191680
CCNA_02427,27273,25409,17307,15375,16912,17382
CCNA_01857,77973,70597,79308,72200,84754,80594
CCNA_02708,126980,110460,133140,100740,124510,93833
CCNA_02728,87931,89072,69026,65246,64882,153980
CCNA_03068,19419,15397,25823,29311,27980,36948
CCNA_02451,52765,39505,39213,43828,47998,36804
CCNA_01931,59349,51221,57201,53447,63846,55178
CCNA_03083,8487.2,6919.3,4592.7,7656.8,7827.1,5302.9
CCNA_01980,28906,28128,50696,36693,45334,47120
CCNA_02049,44834,44328,48459,35031,35337,34398
ftsL,15874,11592,17558,8017.6,7906.3,9396.4
CCNA_02954,22213,18798,11223,19140,22391,17367
CCNA_02971,69555,64240,59258,46354,55246,44391
CCNA_02710,117390,90344,84608,90224,95255,54729
CCNA_02745,15546,16858,20460,12269,24208,13734
CCNA_03348,26828,22100,19494,27676,36650,27601
CCNA_02170,8062.2,8482.5,8759.8,9300.4,14766,25677
CCNA_03107,632650,368930,673170,543640,662080,498050
CCNA_02781,26848,22339,22511,36473,51169,42127
CCNA_03387,38090,33925,42201,39146,42541,39865
CCNA_03175,5459.4,7050.5,9463.9,9049.6,7845.9,10267
CCNA_02855,40689,40908,49736,18046,19970,21987
ftsE,6294.9,5364.2,1842.8,6405.7,7534.3,5218
ubiA,38943,27420,10697,32094,32643,21116
CCNA_02945,6563.7,6292.2,5256,7195,7465.5,4249.5
CCNA_03539,14449,16014,12967,10981,15564,29305
CCNA_02348,23368,18965,34671,20232,20948,22109
CCNA_03565,172280,154410,197750,136370,146500,128010
CCNA_02951,19744,22717,28744,22499,26416,25954
CCNA_02403,38081,30513,16741,26212,28590,22013
CCNA_03326,334840,289050,332840,213860,242610,191220
CCNA_02429,25975,28738,40282,37431,46027,50262
CCNA_03011,22423,21904,22303,30484,33845,29756
CCNA_03060,973620,592050,866630,876010,911840,449320
CCNA_03131,34039,20794,12334,24408,25263,19442
mrrA,658650,595560,980520,640290,749510,812670
CCNA_03515,1594100,1008700,1180700,816550,916160,505490
CCNA_03540,73844,49577,19636,49600,59806,51315
CCNA_02589,45448,30483,69716,44163,42286,56652
CCNA_02611,48383,68380,42884,50068,48950,175720
CCNA_03192,13925,32400,16124,27390,29213,64938
CCNA_03234,8768.5,7526.7,16411,16266,14112,13867
glnA3,93120,68948,29902,110490,136540,92636
CCNA_03214,747910,670450,526370,534000,577350,439510
CCNA_03624,110240,89173,80710,96088,118810,91460
cleE,22971,21251,20162,16005,18625,19383
CCNA_02726,71011,78344,112090,108440,139050,153120
CCNA_03389,5520.7,4701.4,2669.7,5168.1,3522.2,3436.4
CCNA_02758,123450,102270,117090,122270,142180,107550
CCNA_03763,21578,17407,19906,19370,20770,18698
CCNA_03453,51207,34706,25379,43027,54779,46854
CCNA_03489,15963,21429,25581,45559,51616,57189
CCNA_03466,85701,74055,112690,76698,81947,81278
doc,19224,20187,37103,27891,40152,31867
CCNA_02897,7565.9,6864.6,10691,16111,16783,17361
CCNA_03480,34772,26023,45573,33261,33574,29790
fzeB,58195,34825,55714,32150,47315,57208
phyK,16850,74447,20975,26558,26013,351500
CCNA_02969,21942,18343,24065,25080,29433,31851
CCNA_03666,314120,240070,286480,254990,367250,325760
CCNA_03671,3939.8,1837.3,2733.2,3551.4,3388.1,3897.8
CCNA_03639,499200,476040,694960,408390,453000,473810
CCNA_03141,136630,140730,148850,145210,148060,201090
yciB,311590,241260,208000,225470,254850,209010
CCNA_03193,12202,12383,18158,19591,22429,24462
CCNA_03849,738700,742240,964540,640340,795660,795620
CCNA_03765,43614,42696,56000,43606,43546,51024
CCNA_03863,17399,12394,16434,25285,29036,23200
CCNA_03259,87444,86026,139630,92800,105120,128000
secE,528070,498600,303430,95225,112610,89506
rpsU,388260,424280,337170,516840,523080,454160
CCNA_03417,10503,12863,16340,13772,17562,17360
coxC,1535900,1376600,680370,957530,960310,938290
CCNA_03585,86207,74938,110170,78218,99835,86969
CCNA_03673,652000,578810,349430,420880,442240,364940
CCNA_03887,42550,34451,22202,23686,22090,17332
CCNA_03885,59126,50153,37493,49572,51961,45973
CCNA_03906,75582,37806,59592,29084,31196,31180
CCNA_03966,4754.6,5071.1,6491.2,122910,141730,124620
CCNA_03957,66400,60334,115310,76226,79862,96711
hrcA,7138.3,1998.7,0,5982.9,7103.8,2544
glsA,16760,14883,10425,17210,19118,16448
panD,129060,120670,224710,196220,229160,107560
rpmA,3004900,2554700,1617900,2231000,2541000,1560400
ccrMIM,41215,36606,13781,25063,28506,28336
CCNA_00495,46325,29162,27850,29680,36756,31968
mraY,114100,133800,58728,100230,145030,164880
sfsA,53204,42734,56238,47282,55372,44533
trhO,68638,65205,84925,50398,54532,62243
rpmC,8151300,6420300,4868400,5166500,5452600,4114700
gcvH,2678900,2536800,4016900,2641100,2971500,3289200
uppP,104280,76222,38882,76257,83346,53342
CCNA_00019,5525.8,3110.4,4597.6,6353.9,5433.1,3590.7
CCNA_00126,173960,122620,125620,106820,109740,60589
CCNA_00134,954040,803660,700940,643600,751650,552160
CCNA_00171,12684,10067,11827,11308,11928,4509
CCNA_00191,53492,30910,49711,58173,60602,46048
CCNA_00414,27629,19818,34607,28198,30770,34374
CCNA_00056,27266,29714,43350,32429,36977,38212
CCNA_00105,98864,88054,55799,64990,63333,63155
CCNA_00122,111960,88837,99846,86457,101240,88582
CCNA_00484,15514,13120,11453,11300,12324,10417
CCNA_00503,300570,273300,259550,245910,286870,227000
CCNA_00508,5447.8,4534.6,7277.8,2660.7,4060.9,3040.2
CCNA_00563,13348,12596,5227.9,11039,7937.9,9962.2
CCNA_00608,6994.7,4482.2,6744.6,3155.4,3263.4,3915.1
cheBII,108550,86707,88348,72193,92081,76328
CCNA_00300,8667.5,7520.9,17256,12786,11035,12792
CCNA_00336,9865.2,8341.4,10626,11228,11128,12372
CCNA_00718,150440,133580,126590,101110,97375,86326
CCNA_00156,20519,13872,18178,14718,19433,15508
mnmC,6422.7,6194.5,5237.9,3960.1,4935.9,4386.7
CCNA_00168,680970,656050,904610,310340,342180,230230
CCNA_00812,9839.6,10421,13171,12636,11625,15027
relB-1,15429,13032,21010,17234,18968,24432
CCNA_00244,7727.5,6837.6,11501,17384,22480,7478.5
CCNA_00877,4989.7,7038.2,1754.2,4530.8,4257.9,8559.9
CCNA_00509,21364,21967,21383,9898.5,9166.9,10229
CCNA_00888,79494,83323,70555,131200,134490,162920
CCNA_00959,1558.3,793.75,774.39,1245.6,1939,2566.7
moaD,18548,18830,34785,28357,32395,33977
CCNA_00603,9951.5,5606.1,3021.5,5626,6549.2,5471.9
CCNA_00386,152750,115700,86664,73851,87659,71038
CCNA_00987,611040,460360,409910,495840,464440,432610
vapC,14996,13638,17504,12845,17891,18362
cdzB,16535,12264,3604.2,7012.7,7411.1,3167.2
CCNA_01075,254260,179610,193120,118310,121260,103570
CCNA_00481,38397,27048,32333,28020,37723,31447
CCNA_00765,545440,403780,340930,282530,288720,220420
CCNA_01099,12854,13539,7533.5,9216.5,10220,11774
CCNA_00776,2326.9,2040.3,2881,3366.3,3843.5,2039.3
cpdR,484730,461310,682400,487620,501860,580790
CCNA_00333,2301.5,1705.7,954.16,2433.7,1611.3,2086.1
fljO,23965,24090,32867,26247,29118,23623
CCNA_00604,16311,10883,3277.3,8359.2,10412,7843.7
CCNA_00635,1027.3,1113.6,1048,919.12,0,791.49
CCNA_00467,170240,149560,82478,118170,119250,90739
CCNA_00671,38145,23143,6214.9,29512,31237,26869
CCNA_00125,55670,40881,33689,35529,37748,22921
CCNA_01244,16083,13092,22547,17682,19458,15104
CCNA_00149,156070,126660,154840,143870,140970,96144
rpsN,3848900,2913000,1971200,2176700,2298500,2025400
CCNA_01361,16215,13009,15070,18057,14551,19087
CCNA_00689,2228.9,10941,2055.9,3540.5,9779.9,93036
CCNA_01398,18379,20354,20287,16659,13017,14074
parD2,28594,20917,44323,26914,30929,29925
cydB,3496.1,3802.6,2738.7,3486.9,4118.6,4278
CCNA_00910,9714.2,6123.4,7855.7,3906,4568.3,4045.1
CCNA_01168,1222000,1155600,1146200,1017400,1139300,1086400
CCNA_00375,106370,92159,82579,17840,19137,19796
CCNA_01208,19465,14957,21455,12899,17623,19489
CCNA_00984,75502,75672,127020,94524,105750,133080
CCNA_01250,16751,17433,13546,13215,14918,11431
CCNA_01266,15192,18686,32794,23489,25007,27144
CCNA_00521,121090,96254,99517,96132,100270,97783
CCNA_00551,16430,9367.7,10376,12845,14985,15482
CCNA_01088,49776,48460,36824,45916,44053,32380
CCNA_01053,4550.8,4277.7,7045.1,7967.1,8978.6,8181.5
CCNA_01705,21205,18456,26186,13631,13394,9189.9
CCNA_01383,3370.5,2746.3,4819.2,3761.9,5334.8,3823.5
CCNA_01715,2898.9,2392,1725,3429.4,5185.9,3641.6
CCNA_01399,212030,251510,131190,149690,172810,256080
CCNA_00595,21046,15844,14792,13827,16140,13278
CCNA_01119,25334,21612,18178,28410,38028,41615
CCNA_01485,49801,44101,54668,32305,34513,36420
fljK,178810,124900,207930,144170,162220,170180
CCNA_01858,13989,11198,17597,12213,11643,7956.7
CCNA_01231,16151,12602,11683,10286,12895,11267
CCNA_01374,1736.5,1561.7,701.82,1437.7,2083.5,1662.1
CCNA_00779,3747.4,2782.5,4279.5,2479.5,2284.3,2925.4
CCNA_01295,148670,139080,85498,84079,95647,85701
CCNA_01601,35204,40519,56745,66573,69758,60104
CCNA_01408,9650.8,7069.4,14519,10331,9823,11645
fljM,10810000,10143000,12799000,9464400,11616000,10758000
CCNA_01452,10378,6524.5,7930.6,6313.5,8268.1,7546.8
nuoH,213450,186600,134270,129010,127590,122960
CCNA_01690,9908.7,9713.4,6354.8,6354.8,5320.1,6970.8
CCNA_01434,2339.6,1371,1259.8,1997.3,1564.6,1942.1
parD1,25196,33075,39150,25791,32585,34453
CCNA_01767,3056.5,3434.9,5259.8,4263.6,5540.4,2536
flgF,1867.4,785.99,2627.8,787.47,2148.4,1476.7
CCNA_01870,10629,8031.4,7759.2,8971.6,7598.8,5437.4
CCNA_01587,3980.6,3075.2,2999.1,3974,3826.2,3666.6
CCNA_01903,5579.3,7381.3,8523.9,7402.9,7458.6,5545.4
CCNA_01049,8025.9,4967.6,7619.7,4791.3,6144.7,4972.5
CCNA_01079,16484,7663.1,9392.7,9574.8,8280.6,5239.9
CCNA_01697,796210,658920,713370,522390,509040,421070
CCNA_01729,0,0,0,0,0,0
CCNA_01115,28667,28813,15346,22786,25695,26517
CCNA_02290,34332,57254,18635,153270,176580,361180
CCNA_01703,61030,50703,46747,37471,38534,38868
nuoL,11860,10829,9177.3,9401.1,9654.7,13411
CCNA_01161,45868,47911,8931.3,27926,33024,27766
CCNA_02381,4410.7,3738.1,2982.4,2131.6,2711.3,8360.2
qoxB,1666.9,733.6,1051.2,1896.1,1129.4,1648.2
CCNA_01769,10761,10738,9323.3,6077.9,6128.4,6476.2
CCNA_01790,0,0,0,0,0,1982.1
nuoJ,25593,18927,24693,25354,28527,29472
CCNA_01890,363630,340920,260150,118110,121780,61420
CCNA_01435,27429,17755,27898,10914,11263,7156.3
CCNA_01499,57157,58363,44373,21784,24833,25581
gcrA,420890,312460,283510,232770,275730,255530
CCNA_02059,66012,53808,39129,54982,63938,34091
CCNA_01542,10819,6889.8,6692.9,4739.9,5691.8,4492.3
exbD,6958,5356.8,6624.3,3314.5,4416.9,3789.4
CCNA_02189,17213,16184,17273,12981,20852,16008
CCNA_02695,3447500,3062500,2362300,1980900,2066000,1360500
hfaE,11376,10363,8213.8,12672,13597,14394
CCNA_02748,321290,331370,460040,384390,440770,453970
CCNA_02485,8007.7,5833.7,7302.3,7989.3,7304,8564.3
CCNA_02152,22666,21409,28897,17744,20976,21270
CCNA_02821,15296,13378,11698,10854,10620,10893
CCNA_02852,26659,17463,11089,18232,21661,17825
der,170470,67977,272220,248540,201900,39691
mipZ,177800,116160,109380,125020,163500,100200
CCNA_01755,3603.4,3398.4,3730.1,2718.4,3783.6,2829.9
CCNA_02272,203230,169460,111330,187710,226800,192480
CCNA_02377,73029,56281,73977,50455,61286,56201
CCNA_03002,52973,45244,49512,36164,37510,38251
CCNA_02391,7887.2,9272.9,12303,8199.7,10227,7872.8
CCNA_01896,179800,158810,146130,126340,136590,121320
CCNA_01906,6015,8375.5,5133.8,4814.7,8185.3,4992.3
CCNA_03053,5687.7,4173,5596,5481.2,7293.9,5380.9
CCNA_01921,45208,33816,34281,36640,42888,36246
CCNA_02461,6219.8,7730.8,11473,7639.6,9579.3,10249
CCNA_03106,88516,71505,108320,96222,113350,115570
CCNA_03113,345650,242620,124300,291020,364270,337950
CCNA_03134,244830,224280,309230,216540,259100,283330
CCNA_02859,4095,3627.1,3585.8,4418,4322.6,2501.3
CCNA_02010,5799.7,3181,4937.3,5123.1,3859.1,4275.6
CCNA_02556,61969,48895,60737,50565,63178,46157
stpB,54392,49315,38605,31360,35411,41571
CCNA_02044,17747,12286,16537,16788,23541,22861
CCNA_03189,195630,179560,222730,149900,185420,107550
CCNA_02593,5545.4,5065.4,7860.5,5995.6,6776.1,6047.3
flbY,14156,13934,17028,18550,21890,17630
CCNA_02672,55426,53168,48292,35037,37462,40484
CCNA_02652,11204,6819.2,5287.5,7886.8,8219.5,8717.1
CCNA_03238,19988,20938,24740,9670.7,13621,7173.8
CCNA_03254,19609,17851,12892,11376,14843,12108
CCNA_03267,9408.5,7977.2,7603.9,7144.7,7338.4,6497.7
cpaI,20564,21985,25644,24658,25048,26669
CCNA_02697,11049,10160,11385,11557,13177,14556
CCNA_03055,104890,95928,110240,73458,71149,44359
CCNA_02719,6261.8,5171.6,11473,6854.3,8964.3,5710.7
CCNA_03064,3988.9,2824.6,5813.7,5900.6,6517.9,3701.1
parE4,8605.1,6104,7136.2,6233,7870.9,4138.8
CCNA_03365,10477,9545,13120,10634,9377.9,8261
CCNA_03100,35419,21176,45702,35945,35947,15105
CCNA_02196,11178,8885.7,17194,20831,20481,18770
cobQ,376010,333620,418180,235490,267760,225940
CCNA_02212,135750,127880,96488,96152,108480,101280
CCNA_02787,17600,16535,11294,20348,24387,23021
CCNA_03418,7187.3,7910.9,12704,7529.5,9211.9,10404
CCNA_02257,13275,12031,7126.7,7860.2,9991.5,7086.2
CCNA_03482,10148,10913,18029,13336,15382,13214
CCNA_02289,15264,18908,25891,13516,16015,8382.3
CCNA_02866,41810,35664,19310,41586,46730,40588
CCNA_03492,52108,46774,52503,45328,56853,49785
CCNA_02916,208610,164190,130270,113130,113530,81423
CCNA_02938,93034,82358,71988,65941,72145,70544
CCNA_03313,15479,12559,17295,6599.6,8757.7,7037.2
CCNA_02988,12280,11994,13110,17121,18771,13788
