Gene Name,Control_1,Control_2,Control_3,KO_1,KO_2,KO_3
CCNA_01057,36229,29750,38889,53851,63846,63959
CCNA_01347,310320,259780,251630,91554,104440,90573
CCNA_01373,215810,177620,154690,148910,167910,125130
CCNA_01023,71253,57240,59957,84317,110080,93263
cysH,204410,217980,267920,121270,151590,165460
CCNA_01184,274700,249540,421990,299530,349620,318640
CCNA_01761,213920,157060,105490,136840,149800,117350
CCNA_01766,1919500,1661700,2039100,1783300,2032400,1532600
CCNA_00668,134370,125210,115130,107310,110540,112760
CCNA_00690,4585700,3153400,3796300,2825700,3358100,2762800
CCNA_01242,18175000,14270000,12279000,8551500,9385100,7496700
CCNA_01545,156670,131020,117580,129990,148620,119240
CCNA_01268,5540400,4984900,5165600,4412000,4834200,4511400
iolE,1265100,1204200,2095200,1410700,1613500,1653300
CCNA_00757,57715,49181,65132,52250,55089,45372
CCNA_01932,217240,190770,187420,159620,181310,141500
CCNA_01344,784460,691740,744240,844090,901330,807020
CCNA_01641,91370,72940,81290,63341,64092,61907
CCNA_01706,60671,59075,48681,58070,67235,74477
CCNA_02090,435840,432930,376540,358860,443210,456570
CCNA_01529,239610,212860,352420,238780,282730,364780
CCNA_01539,857850,816820,1350200,1155300,1332300,1161800
CCNA_02129,333060,297830,223600,173120,188460,176450
CCNA_01821,543750,555810,751620,520860,625100,585270
CCNA_01024,77031,73228,91129,79650,99487,77694
CCNA_01898,284510,295100,415870,301770,338160,293240
CCNA_01054,110340,102560,113670,164560,183670,159090
CCNA_02253,99095,80726,71014,85692,91962,71604
coq7,707840,488350,483570,610150,681300,625930
pdxA,1385600,614260,1669100,845350,922930,435560
CCNA_01698,917670,909730,1024200,749620,765480,803910
glnB,980820,920830,1126700,960010,1161600,1261300
CCNA_02349,201200,182120,234150,152130,138400,170020
CCNA_01748,175170,161940,117120,41385,48047,59989
CCNA_01259,2300100,2215600,3038800,1950300,2479000,2145900
purM,3272200,3117800,4664800,3077500,3688000,3601300
CCNA_02448,2416900,2360700,3908600,3640000,4135500,4044400
CCNA_01345,218130,196690,143190,216250,231680,174180
CCNA_01829,204370,164550,191410,151840,164180,143540
CCNA_01834,52247,43475,17991,31247,33806,28649
CCNA_01410,99148,93198,127370,70933,81856,93042
thiL,803700,812350,766220,702690,854120,905870
CCNA_02275,90137,72778,78568,302110,367740,302170
lpxC,180220,163240,195250,186490,198990,149370
CCNA_02590,805210,613240,754400,683110,878510,762160
CCNA_02371,30571,30087,45202,44833,58641,54536
CCNA_02199,93319,78070,102400,82229,102860,93100
CCNA_02111,2104300,1683900,1903400,1055600,1280300,1457300
CCNA_02297,1739700,1932100,2769700,2069300,2656100,3008400
CCNA_02569,270720,295310,444180,392080,460690,474560
CCNA_02579,33645,28915,54261,37359,46558,38770
CCNA_02346,381510,346990,317380,395460,448350,547460
ddl,826760,850670,1280100,965260,1210500,1396600
CCNA_02908,643840,554730,620470,497810,561580,624730
CCNA_02293,2105100,1849200,1568600,1486100,1680500,1532400
exbB,64852000,58500000,44480000,37741000,41479000,28615000
CCNA_02407,42383,43812,54899,49621,58955,64678
CCNA_02733,52061,58228,71460,40062,39075,40713
CCNA_03048,472640,395180,687550,414750,500480,499870
rnr,1141200,1058600,1119800,785360,989210,992040
CCNA_02822,84473,63530,59635,44041,56166,37573
CCNA_02492,57679,56653,98724,75404,84012,93525
CCNA_02549,516680,459770,689330,506490,622640,648870
CCNA_02555,1203400,935900,1574700,1617600,1959200,1718500
CCNA_02575,2967900,3976000,5040100,2700900,3229000,3500600
CCNA_03211,282190,260120,479290,377850,379770,393980
CCNA_02100,313800,349000,389760,213780,235080,213330
CCNA_02105,368750,309010,340790,384170,465400,404110
CCNA_03330,192990,151650,225920,215000,278900,296270
CCNA_03137,307520,266110,288690,211660,233240,228290
CCNA_02891,125680,109390,131280,107410,129550,101590
ppk2,203620,170190,148790,171520,189400,120530
CCNA_02966,3280000,2850800,2973300,3133800,3543700,2516900
queE,310240,311700,534830,369330,428090,464230
CCNA_03285,71685,62429,41054,49932,55124,52045
CCNA_02408,537250,431680,284310,410650,431660,296900
pal,3844600,3107700,3299600,3478900,3785300,3127800
CCNA_03371,1640500,1413900,1024200,1583600,1612100,862510
purE,1185300,1153000,1398200,1159100,1263200,1307500
CCNA_03061,449240,400140,382730,328830,379910,377140
CCNA_02503,570570,427420,511030,565600,606570,412070
pleC,64536,61724,38998,48294,56094,87073
CCNA_03167,797990,739720,821690,696590,807000,609880
potA,385580,335630,291000,321480,327440,281630
dgcA,131650,101150,97419,84110,95031,76242
CCNA_02752,23017,13397,6469.5,12343,18412,15125
ruvC,239860,201230,155920,175670,193180,161280
surF1,450010,388920,362170,301030,312720,300860
CCNA_03449,127640,100670,75923,111040,125770,104630
CCNA_03495,2618400,2501100,3252000,3424200,3874100,3319900
sigT,132590,112660,133930,124820,141490,116900
CCNA_03047,122210,111630,134880,110550,137880,141870
CCNA_03764,2335800,2196200,2557000,1857700,2215700,2381400
CCNA_03771,717780,713100,918490,745080,839590,754080
CCNA_03692,149670,140140,212290,173400,209990,222880
CCNA_03874,2197100,2096400,3690600,2702000,3416600,3522000
CCNA_03809,933780,690600,436860,572020,661400,417060
CCNA_03282,205750,198200,370750,295980,347690,340060
tolR,732730,657040,535790,423130,444790,277290
CCNA_03840,77981,73024,100810,133800,146160,136120
CCNA_03866,1105000,911600,1103000,796230,962140,899140
fabA,3740400,3357700,6017500,3914600,4640900,4619500
parA,990040,761770,827450,801010,937910,760550
fabZ,1828500,1785700,1625700,1388300,1597400,2013700
aroE,790820,754570,1274800,950300,1049600,1139800
moaC,329030,272550,325300,271660,329960,341640
rimP,677720,670640,1035000,682120,872680,846700
fliL,617160,620980,518780,321590,368650,330580
pyrF,841550,812590,1458200,1015600,1195600,1205500
recR,490230,389750,459030,447230,533100,490400
upp,228930,174790,101350,165230,186480,158000
rplL,23426000,19044000,14558000,13202000,13145000,10557000
rplK,4407100,4169300,2408300,3122600,3393400,2552900
queF,960760,811990,740890,632380,710130,630890
pdxH,427950,370850,409280,390910,434680,447980
flbT,1707500,1290700,1309800,1400600,1733400,1680100
mreC,37007,31572,13404,20197,19700,19237
pdxJ,748470,761170,925740,836840,908630,847220
bioB,1580300,1594800,2189100,1562400,1874700,2149100
CCNA_00145,1428700,1165300,1532200,1282900,1485400,1382100
CCNA_00310,77326,64839,100230,82936,83965,87635
CCNA_00111,213700,185880,189280,158060,194290,171650
CCNA_00146,199970,207340,301890,259330,320570,512070
CCNA_00187,42171,40251,52197,40567,34842,42596
CCNA_00209,50831,50427,28452,39505,36191,32390
pstA,144880,128180,69954,87160,92088,64798
CCNA_00324,10829000,9256600,7665600,6070400,6408800,4319200
CCNA_00057,519580,491070,662720,504910,532910,569980
CCNA_00378,702390,640860,787480,684110,832970,606320
CCNA_00753,76299,77950,108630,87357,84341,96942
CCNA_00446,2110400,1347900,1340400,1783100,2080700,1673200
CCNA_00250,214500,165510,133640,189180,222030,162820
CCNA_00574,25544,21896,23833,20564,28843,22729
CCNA_00401,407360,364490,655410,525730,614420,609480
CCNA_00108,111330,93661,152430,152850,171440,126520
CCNA_00119,178830,169890,276900,243520,274860,292830
CCNA_01025,137280,119060,134780,140690,157940,141980
fcl,870720,689980,1066200,829250,947670,833530
CCNA_00256,757370,631500,501180,768100,898620,813450
CCNA_00505,13251000,11757000,12841000,9107100,10586000,11110000
CCNA_00284,261310,202520,308740,236950,258690,221230
CCNA_00804,1018500,909700,1077600,827240,927740,927090
CCNA_00002,391880,350850,586330,427410,495040,473720
dnaJ,321220,255100,130380,138930,128900,103130
moaA,56473,42193,47199,60617,75087,71938
CCNA_00582,423020,324820,315540,235680,303370,250660
CCNA_00593,185320,141190,194120,139430,174230,92258
CCNA_00889,939710,867930,1009500,2035800,2343700,2672500
CCNA_00914,276060,249340,403320,283390,351230,332660
CCNA_00511,658370,626400,1057000,736000,954400,976630
CCNA_00526,2851200,2137000,2609500,2137300,2581600,2095700
CCNA_01260,86288,80799,71100,77251,99436,81594
CCNA_01287,629600,624520,828320,398170,430000,369160
rplS,9269400,8793000,4979100,6571500,6889900,6062700
CCNA_00766,918850,925540,1478800,1216200,1429600,1388900
CCNA_00240,363780,443960,542880,342950,455020,599330
CCNA_01173,1102600,867740,1410300,1025800,1167200,1179000
CCNA_01178,709850,722020,995800,527470,706630,647290
CCNA_00853,102350,93870,114650,114500,122420,115130
CCNA_01219,133870,101900,77090,107640,114900,122420
CCNA_01256,125790,113380,122260,121680,127690,122940
CCNA_01362,35320,26766,26977,36004,31791,32097
CCNA_01140,85287,57770,29413,63557,75079,61272
CCNA_01413,141590,120490,132210,132200,148170,154790
cspD,190310,149400,183540,185560,222960,212870
CCNA_01251,100260,76303,65592,65193,68106,61802
nadK,85112,80267,76212,77381,89568,84031
CCNA_01533,913710,775320,886770,764320,965230,752310
CCNA_01863,81184,64106,57377,46278,49530,54227
spmY,112760,75253,43030,125760,155040,135130
uvrD,22429,17748,13791,11830,13621,11010
glnK,1797700,1637300,1755300,1634800,1866100,1722600
CCNA_00876,227960,176540,285730,204390,245660,195070
CCNA_01701,87807,119860,85073,80073,94185,250960
bamE,1878700,1704100,1740100,1559700,1783600,1625000
